Service,Category,Subcategory,Team Default,Aliases
Disaster Recovery,DR Incident,DR Incident,,
Data Center Services,Data Center Operations,Hardware Move,,
Consumer Privacy Act,CA - CPA,CA - CPA Delete Request,,
Spectrum Mobile,Windtalker,Windtalker issue occuring,,
Security,Offensive Security,Exception,,
Business Services,SAP Material Master,Change Item (with price increases),,
Consumer Privacy Act,CA - CPA,CA - CPA Request,,
Enterprise Applications,Avaya One-X Agent / Sales ID,Agent ID Mapping,,
Security,Offensive Security,Risk Registry,,
IT Support Desk,Incident,Legacy SN Migrated Ticket,,
IT Support Desk,Service Request,Legacy SN Migrated Ticket,,
Security,Offensive Security,Technical Request,,
People Management,Security Services,CPS System Support,,
Enterprise Applications,Charter Business Intelligence (CBI),Microstrategy General Access,,
Security,IT - Security,Security Tool Disable Request,,
Enterprise Applications,Charter Business Intelligence (CBI),Teradata  Views and Analytical Workspaces,,
Data Center Services,Data Center Operations,Escort,,
Data Center Services,Data Center Operations,Campus Work,,
Data Center Services,Data Center Operations,Smart Hands (Non-TRB),,
Enterprise Applications,Finance ? Data & Analytics,Access Request,Access Management,
Enterprise Applications,SOM,Access Request,Access Management,
Enterprise Applications,NETWORK AUTOMATION (NA),Access Request,Access Management,
Enterprise Applications,ACTIVE DIRECTORY,Advanced Rights Request,Access Management,
Enterprise Applications,Adobe Experience Manager (AEM),Access Request,Access Management,
Spectrum Mobile,SM360,Request\Update Access,Access Management,
Enterprise Applications,SERVICE ACTIVATION TOOL,Developer Access Request,Access Management,
People Management,Onboarding/Offboarding,Termination Offboarding,Access Management,
Enterprise Applications,PIL,Unexpected Change to Access,Access Management,
Enterprise Applications,TRANSACTIONAL DATA ANALYSIS (TDA),Unexpected Change to Access,Access Management,
Enterprise Applications,SAP BusinessObjects,Access Request,Access Management,
Enterprise Applications,TelDev Applications,Unexpected Change to Access,Access Management,
Enterprise Applications,TRANSACTIONAL DATA ANALYSIS (TDA),Access Request,Access Management,
Enterprise Applications,VOICEZONE RESIDENTIAL PHONE PORTAL (DPFM),Unexpected Change to Access,Access Management,
Enterprise Applications,WIFIAMR,Access Request,Access Management,
Enterprise Applications,Wireless (Mobility Management),Access Request,Access Management,
Enterprise Applications,ITSA,Access Request,Access Management,
Enterprise Applications,ITSA,Unexpected Change to Access,Access Management,
Enterprise Applications,XPERTrak/Pathtrak,Access Request,Access Management,
Enterprise Applications,XPERTrak/Pathtrak,Unexpected Change to Access,Access Management,
Enterprise Applications,ABUSELOGGER ISSUETRAK API,Unexpected Change to Access,Access Management,
Enterprise Applications,ACCESS CONTROL SYSTEM (ACS),Access Request,Access Management,
Enterprise Applications,ACCESS CONTROL SYSTEM (ACS),Unexpected Change to Access,Access Management,
Enterprise Applications,ACTIVE DIRECTORY,Access Request,Access Management,
Enterprise Applications,Avaya Call Flow/Routing,Access Request,Access Management,
Enterprise Applications,Avaya CMS/IQ Reporting,"Add , Update & Remove",Access Management,
Enterprise Applications,Charter University,Access Request,Access Management,
Enterprise Applications,CRYSTAL ENTERPRISE,Access Request,Access Management,
Enterprise Applications,CUSTOMER IMPACTING OUTAGE TOOL (CIOT),Access Request,Access Management,
Enterprise Applications,DATA RETRIEVAL TOOL (DRT),Access Request,Access Management,
Enterprise Applications,CYBERSOURCE,Access Request,Access Management,
Enterprise Applications,ENTERPRISE DATA WAREHOUSE (EDW),Unexpected Change to Access,Access Management,
Enterprise Applications,MESSAGING PLATFORM (ASAPP),Unexpected Change to Access,Access Management,
Enterprise Applications,Microsoft Bitlocker,Access Request,Access Management,
People Management,Account Management,Change Account Details,Access Management,
People Management,Account Management,JDE Access Request,Access Management,
People Management,Account Management,Unexpected Change to Access,Access Management,
Enterprise Applications,VISTAPLUS,Unexpected Change to Access,Access Management,
Enterprise Applications,VISUAL PARADIGM,Access Request,Access Management,
Enterprise Applications,VISUAL PARADIGM,Unexpected Change to Access,Access Management,
Enterprise Applications,VOICEMANAGER,Access Request,Access Management,
Enterprise Applications,VOICEMANAGER,Unexpected Change to Access,Access Management,
Enterprise Applications,VOICEZONE RESIDENTIAL PHONE PORTAL (DPFM),Access Request,Access Management,
Enterprise Applications,VISTAPLUS,Access Request,Access Management,
Enterprise Applications,VIP Access,Unexpected Change to Access,Access Management,
Enterprise Applications,UNITEE (BHN),Access Request,Access Management,
Enterprise Applications,UNITEE (BHN),Unexpected Change to Access,Access Management,
Enterprise Applications,VCAT,Access Request,Access Management,
Enterprise Applications,PEOPLESOFT FINANCIAL,Unexpected Change to Access,Access Management,
Enterprise Applications,PIL,Access Request,Access Management,
Enterprise Applications,PANORAMA,Unexpected Change to Access,Access Management,
Enterprise Applications,Parallels,Access Request,Access Management,
Enterprise Applications,Parallels,Unexpected Change to Access,Access Management,
Enterprise Applications,Penguin Data TQA,Access Request,Access Management,
Enterprise Applications,Penguin Data TQA,Unexpected Change to Access,Access Management,
Enterprise Applications,PEOPLESOFT FINANCIAL,Access Request,Access Management,
Enterprise Applications,SACS,Access Request,Access Management,
Enterprise Applications,SACS,Unexpected Change to Access,Access Management,
Enterprise Applications,SALES DESIGN AND REVIEW PROCESS (SDRP),Access Request,Access Management,
Enterprise Applications,SALES DESIGN AND REVIEW PROCESS (SDRP),Unexpected Change to Access,Access Management,
Enterprise Applications,SAS ADVANCED ANALYTICS,Access Request,Access Management,
Enterprise Applications,SAP ERP,Access Request,Access Management,
Enterprise Applications,SOM,Unexpected Change to Access,Access Management,
Enterprise Applications,SPATIALNET,Access Request,Access Management,
Enterprise Applications,SPATIALNET,Unexpected Change to Access,Access Management,
Enterprise Applications,SPLUNK,Access Request,Access Management,
Enterprise Applications,SPLUNK,Unexpected Change to Access,Access Management,
Enterprise Applications,SUBPOENA FULFILLMENT TOOL,Access Request,Access Management,
Enterprise Applications,SUBPOENA FULFILLMENT TOOL,Unexpected Change to Access,Access Management,
Enterprise Applications,SYMANTEC VIP,Access Request,Access Management,
Enterprise Applications,TECHNICAL QUALITY ASSURANCE (TQA),Unexpected Change to Access,Access Management,
Enterprise Applications,TECHTRACKER,Unexpected Change to Access,Access Management,
Enterprise Applications,TelDev Applications,Access Request,Access Management,
Enterprise Applications,Fulcrum,Unexpected Change to Access,Access Management,
Enterprise Applications,HYPERION PLANNING ESSBASE,Unexpected Change to Access,Access Management,
Enterprise Applications,iSeries,Unexpected Change to Access,Access Management,
Enterprise Applications,IDENTIFI.WEB,Access Request,Access Management,
Enterprise Applications,ISTONISH / TPV,Unexpected Change to Access,Access Management,
Enterprise Applications,KANA IQ,Access Request,Access Management,
Enterprise Applications,KANA IQ,Unexpected Change to Access,Access Management,
Enterprise Applications,KANA RESPONSE,Access Request,Access Management,
Enterprise Applications,KANA RESPONSE,Unexpected Change to Access,Access Management,
Enterprise Applications,KMS,Access Request,Access Management,
Enterprise Applications,KMS,Unexpected Change to Access,Access Management,
Enterprise Applications,KNOA,Access Request,Access Management,
Enterprise Applications,KOFAX,Access Request,Access Management,
Enterprise Applications,LIVEPERSON,Unexpected Change to Access,Access Management,
Enterprise Applications,ISTONISH / TPV,Access Request,Access Management,
Enterprise Applications,MBCRPP,Access Request,Access Management,
Enterprise Applications,MBCRPP,Unexpected Change to Access,Access Management,
Enterprise Applications,MEDEA,Access Request,Access Management,
Enterprise Applications,NESTOR BUDGET,Unexpected Change to Access,Access Management,
Enterprise Applications,MEDEA,Unexpected Change to Access,Access Management,
Enterprise Applications,MESSAGING PLATFORM (ASAPP),Access Request,Access Management,
Enterprise Applications,NetIQ ESSO,Unexpected Change to Access,Access Management,
Enterprise Applications,NEUSTAR,Unexpected Change to Access,Access Management,
Enterprise Applications,OIC,Access Request,Access Management,
Enterprise Applications,OMSE,Access Request,Access Management,
Enterprise Applications,CHAT,Access Request,Access Management,
Enterprise Applications,CHANNEL LINE-UP (CLU),Unexpected Change to Access,Access Management,
Enterprise Applications,CHARTER IDENTITY MANAGEMENT TOOL (CIMT),Access Request,Access Management,
Enterprise Applications,CHARTER IDENTITY MANAGEMENT TOOL (CIMT),Unexpected Change to Access,Access Management,
Enterprise Applications,Charter My Success,Access Request,Access Management,
Enterprise Applications,Charter Tools Marketing Site,Access Request,Access Management,
Enterprise Applications,COACHING & FEEDBACK TOOL,Unexpected Change to Access,Access Management,
Enterprise Applications,COACHING SURVEY / ACT,Unexpected Change to Access,Access Management,
Enterprise Applications,COMPETITIVE EDGE,Access Request,Access Management,
Enterprise Applications,CONTRACT MANAGEMENT,Unexpected Change to Access,Access Management,
Enterprise Applications,CONTRACT MANAGEMENT,Access Request,Access Management,
Enterprise Applications,DICE,Access Request,Access Management,
Enterprise Applications,Corportal,Access Request,Access Management,
Enterprise Applications,Corportal,Unexpected Change to Access,Access Management,
Enterprise Applications,COUPON SYSTEM MANAGEMENT,Access Request,Access Management,
Enterprise Applications,EARTHLINK API,Unexpected Change to Access,Access Management,
Enterprise Applications,ESD,Unexpected Change to Access,Access Management,
Enterprise Applications,ETS STUDIO,Access Request,Access Management,
Enterprise Applications,HSDAMR,Access Request,Access Management,
Enterprise Applications,HSDAMR,Unexpected Change to Access,Access Management,
Enterprise Applications,HYPERION PLANNING ESSBASE,Access Request,Access Management,
Enterprise Applications,SAP Callidus Cloud,Unexpected Change to Access,Access Management,
Enterprise Applications,Zendesk,Unexpected Change to Access,Access Management,
Enterprise Applications,ABUSELOGGER ISSUETRAK API,Access Request,Access Management,
Enterprise Applications,Granite,Access Request,Access Management,
IT Network Services,IT Network Services,Create New Vendor Global Protect VPN Connection,Access Management,
Enterprise Applications,ACTIVE DIRECTORY,Unexpected Change to Access,Access Management,
Enterprise Applications,ANI,Access Request,Access Management,
Enterprise Applications,ANI,Unexpected Change to Access,Access Management,
Enterprise Applications,APOLLO,Access Request,Access Management,
Enterprise Applications,APP BAR,Access Request,Access Management,
Enterprise Applications,ATIM,Access Request,Access Management,
Enterprise Applications,ATIM,Unexpected Change to Access,Access Management,
Enterprise Applications,AUTOMATED COPYRIGHT TOOL (ACT),Access Request,Access Management,
Enterprise Applications,BENTLEY (BHN),Unexpected Change to Access,Access Management,
Enterprise Applications,BOTTRACKER,Access Request,Access Management,
Enterprise Applications,BOTTRACKER,Unexpected Change to Access,Access Management,
Enterprise Applications,BRM,Access Request,Access Management,
Enterprise Applications,C360 DASHBOARD,Access Request,Access Management,
Enterprise Applications,Broadworks,Access Request,Access Management,
Enterprise Applications,CDMS,Unexpected Change to Access,Access Management,
Enterprise Applications,CENS,Unexpected Change to Access,Access Management,
Enterprise Applications,CETOVA,Access Request,Access Management,
Enterprise Applications,CETOVA,Unexpected Change to Access,Access Management,
Enterprise Applications,CHANNEL LINE-UP (CLU),Access Request,Access Management,
IT Network Services,IT Network Services,Request Access to VPN,Access Management,
Desktop Software,Java,Legacy Java Version Install,Access Management,
Enterprise Applications,GOTOASSIST - LOGMEIN (GTA),Unexpected Change to Access,Access Management,
Enterprise Applications,HELP.TWCABLE.COM,Access Request,Access Management,
Enterprise Applications,HELP.TWCABLE.COM,Unexpected Change to Access,Access Management,
Enterprise Applications,HOME SECURITY TECH ASSIST,Access Request,Access Management,
Enterprise Applications,PSP / Nortel,Access Request,Access Management,
Enterprise Applications,Granite,Unexpected Change to Access,Access Management,
Enterprise Applications,Avaya IVR - VRT,Access Request,Access Management,
Enterprise Applications,NETWORK AUTOMATION (NA),Unexpected Change to Access,Access Management,
Enterprise Applications,NEUSTAR,Access Request,Access Management,
Enterprise Applications,TechHub,Unexpected Change to Access,Access Management,
Enterprise Applications,TECHNICAL QUALITY ASSURANCE (TQA),Access Request,Access Management,
Enterprise Applications,SERVICE ACTIVATION TOOL,Unexpected Change to Access,Access Management,
Enterprise Applications,QMATIC,Unexpected Change to Access,Access Management,
Enterprise Applications,SAS GRID,Unexpected Change to Access,Access Management,
Enterprise Applications,SAS ADVANCED ANALYTICS,Unexpected Change to Access,Access Management,
Enterprise Applications,SAS GRID,Access Request,Access Management,
Enterprise Applications,SERVICE ACTIVATION TOOL,Access Request,Access Management,
Enterprise Applications,REAL-TIME CUSTOMER SERVICE RECORD (RT-CSR),Access Request,Access Management,
Enterprise Applications,REAL-TIME CUSTOMER SERVICE RECORD (RT-CSR),Unexpected Change to Access,Access Management,
Enterprise Applications,RECONNET,Access Request,Access Management,
Enterprise Applications,PSP / Nortel,Unexpected Change to Access,Access Management,
Enterprise Applications,QMATIC,Access Request,Access Management,
Enterprise Applications,ORDER STATUS TOOL (OST),Unexpected Change to Access,Access Management,
Enterprise Applications,OSM 2.0,Access Request,Access Management,
Enterprise Applications,OSM 2.0,Unexpected Change to Access,Access Management,
Enterprise Applications,PEOPLESOFT FINANCIAL,Issue with App Client Software,Access Management,
Enterprise Applications,PRISM Application,Access Request,Access Management,
Enterprise Applications,RECONNET,Unexpected Change to Access,Access Management,
Enterprise Applications,RECOVERY MANAGEMENT TOOL (RMT),Access Request,Access Management,
Enterprise Applications,RECOVERY MANAGEMENT TOOL (RMT),Unexpected Change to Access,Access Management,
Enterprise Applications,Remote Call Forward Tool (RCF),Access Request,Access Management,
Enterprise Applications,Remote Call Forward Tool (RCF),Unexpected Change to Access,Access Management,
Enterprise Applications,RF-SMART,Access Request,Access Management,
Enterprise Applications,RF-SMART,Unexpected Change to Access,Access Management,
Enterprise Applications,RT-CSR,Access Request,Access Management,
Enterprise Applications,IOM,Unexpected Change to Access,Access Management,
Enterprise Applications,iSeries,Access Request,Access Management,
Enterprise Applications,INFORMATICA,Unexpected Change to Access,Access Management,
Enterprise Applications,IOM,Access Request,Access Management,
Enterprise Applications,KNOA,Unexpected Change to Access,Access Management,
Enterprise Applications,KOFAX,Unexpected Change to Access,Access Management,
Enterprise Applications,Kronos Special Access,Unexpected Change to Access,Access Management,
Enterprise Applications,Learning Technology,Access Request,Access Management,
Enterprise Applications,Learning Technology,Unexpected Change to Access,Access Management,
Enterprise Applications,LEGAL RESPONSE PORTAL (LRP),Access Request,Access Management,
Enterprise Applications,LIGHTHOUSE,Unexpected Change to Access,Access Management,
Enterprise Applications,LIVEPERSON,Access Request,Access Management,
Enterprise Applications,LMS,Access Request,Access Management,
Enterprise Applications,LEGAL RESPONSE PORTAL (LRP),Unexpected Change to Access,Access Management,
Enterprise Applications,LIGHTHOUSE,Access Request,Access Management,
Enterprise Applications,Microsoft Bitlocker,Unexpected Change to Access,Access Management,
Enterprise Applications,NESTOR,Access Request,Access Management,
Enterprise Applications,NESTOR,Unexpected Change to Access,Access Management,
Enterprise Applications,NESTOR BUDGET,Access Request,Access Management,
Enterprise Applications,NetIQ ESSO,Access Request,Access Management,
Enterprise Applications,OIC,Unexpected Change to Access,Access Management,
Enterprise Applications,OMSE,Unexpected Change to Access,Access Management,
Enterprise Applications,Oncall Database / OCDB,Unexpected Change to Access,Access Management,
Enterprise Applications,OPERATIONAL INTELLIGENCE ANALYTICS,Access Request,Access Management,
Enterprise Applications,OPERATIONAL INTELLIGENCE ANALYTICS,Unexpected Change to Access,Access Management,
Enterprise Applications,Oncall Database / OCDB,Access Request,Access Management,
Enterprise Applications,ORDER STATUS TOOL (OST),Access Request,Access Management,
Enterprise Applications,PANORAMA,Access Request,Access Management,
Enterprise Applications,TECHTRACKER,Access Request,Access Management,
Enterprise Applications,TechHub,Access Request,Access Management,
Enterprise Applications,VCAT,Unexpected Change to Access,Access Management,
Enterprise Applications,VENAFI ENCRYPTION DIRECTOR,Unexpected Change to Access,Access Management,
Enterprise Applications,VERTEX,Access Request,Access Management,
Enterprise Applications,VERTEX,Unexpected Change to Access,Access Management,
Enterprise Applications,WIFIAMR,Unexpected Change to Access,Access Management,
Enterprise Applications,XSTORE,Access Request,Access Management,
Enterprise Applications,Wireless (Mobility Management),Unexpected Change to Access,Access Management,
People Management,Account Management,Access Request,Access Management,
People Management,Account Management,Activate My Account,Access Management,
Enterprise Applications,SYMANTEC VIP,Unexpected Change to Access,Access Management,
Internal Communication Management,WebEx,Access Request Webex Meetings,Access Management,
Enterprise Applications,Hadoop,Unexpected Change to Access,Access Management,
Enterprise Applications,IDENTIFI.WEB,Unexpected Change to Access,Access Management,
Enterprise Applications,INFORMATICA,Access Request,Access Management,
Enterprise Applications,FTP,Access Request,Access Management,
Enterprise Applications,Fulcrum,Access Request,Access Management,
Enterprise Applications,GOTOASSIST - LOGMEIN (GTA),Access Request,Access Management,
Enterprise Applications,ENTERPRISE DATA WAREHOUSE (EDW),Access Request,Access Management,
Enterprise Applications,Finance ? Data & Analytics,Unexpected Change to Access,Access Management,
Enterprise Applications,DISTRIBUTION RESOURCE PLANNING,Access Request,Access Management,
Enterprise Applications,DISTRIBUTION RESOURCE PLANNING,Unexpected Change to Access,Access Management,
Enterprise Applications,DPEAMR,Access Request,Access Management,
Enterprise Applications,DPEAMR,Unexpected Change to Access,Access Management,
Enterprise Applications,DRUM,Access Request,Access Management,
Enterprise Applications,DRUM,Unexpected Change to Access,Access Management,
Enterprise Applications,EARTHLINK API,Access Request,Access Management,
Enterprise Applications,CRYSTAL ENTERPRISE,Unexpected Change to Access,Access Management,
Enterprise Applications,CUSTOMER IMPACTING OUTAGE TOOL (CIOT),Unexpected Change to Access,Access Management,
Enterprise Applications,CYBERSOURCE,Unexpected Change to Access,Access Management,
Enterprise Applications,DATA RETRIEVAL TOOL (DRT),Unexpected Change to Access,Access Management,
Enterprise Applications,Cisco Prime Optical (CPO),Unexpected Change to Access,Access Management,
Enterprise Applications,CLOUD,Access Request,Access Management,
Enterprise Applications,CLOUD,Unexpected Change to Access,Access Management,
Enterprise Applications,COACHING & FEEDBACK TOOL,Access Request,Access Management,
Enterprise Applications,COACHING SURVEY / ACT,Access Request,Access Management,
Enterprise Applications,COUPON SYSTEM MANAGEMENT,Unexpected Change to Access,Access Management,
Enterprise Applications,ARCHER,Unexpected Change to Access,Access Management,
Enterprise Applications,App Dynamics,Unexpected Change to Access,Access Management,
Enterprise Applications,APPLICATION SECURITY MANAGER,Access Request,Access Management,
Enterprise Applications,APPLICATION SECURITY MANAGER,Unexpected Change to Access,Access Management,
Enterprise Applications,ARCHER,Access Request,Access Management,
Enterprise Applications,AUTOMATED COPYRIGHT TOOL (ACT),Unexpected Change to Access,Access Management,
Enterprise Applications,Avaya Call Flow/Routing,Unexpected Change to Access,Access Management,
Enterprise Applications,Avaya IVR - VRT,Unexpected Change to Access,Access Management,
Enterprise Applications,Avaya Toll Free,Access Request,Access Management,
Enterprise Applications,Avaya Toll Free,Unexpected Change to Access,Access Management,
Enterprise Applications,Avaya Verint/QMS CallRecording,Access Request,Access Management,
Enterprise Applications,Avaya Voicemail,Access Request,Access Management,
Enterprise Applications,Avaya Voicemail,Unexpected Change to Access,Access Management,
Enterprise Applications,BACCLITE,Access Request,Access Management,
Enterprise Applications,BACCLITE,Unexpected Change to Access,Access Management,
Enterprise Applications,BENTLEY (BHN),Access Request,Access Management,
Enterprise Applications,Broadworks,Unexpected Change to Access,Access Management,
Enterprise Applications,CABS,Unexpected Change to Access,Access Management,
Enterprise Applications,CDMS,Access Request,Access Management,
Enterprise Applications,CENS,Access Request,Access Management,
Enterprise Applications,C360 DASHBOARD,Unexpected Change to Access,Access Management,
Enterprise Applications,CABS,Access Request,Access Management,
Enterprise Applications,Charter Tools Marketing Site,Unexpected Change to Access,Access Management,
Enterprise Applications,CHAT,Unexpected Change to Access,Access Management,
Enterprise Applications,Cherwell,Request App Client Software,Access Management,
Enterprise Applications,Cherwell,Unexpected Change to Access,Access Management,
Enterprise Applications,Cisco Prime Optical (CPO),Access Request,Access Management,
Enterprise Applications,Hadoop,Access Request,Access Management,
Enterprise Applications,APOLLO,Unexpected Change to Access,Access Management,
Enterprise Applications,APP BAR,Unexpected Change to Access,Access Management,
Enterprise Applications,App Dynamics,Access Request,Access Management,
Business Services,Vendor Management,Vendor Change Request,Accounts Payable,
Business Services,Vendor Management,Vendor Issue,Accounts Payable,
Business Services,Vendor Management,Franchise Tax,Accounts Payable,
Business Services,Vendor Management,New Vendor Request,Accounts Payable,
Business Services,Vendor Management,Supplier Utility,Accounts Payable,
Internal Communication Management,Email/Calendaring,Issue with Email/Calendaring,Adv Tech Services Messaging,
Internal Communication Management,Lync/Skype/Persistent Chat,Issue with Lync/Skype/Persistent Chat,Adv Tech Services Messaging,
Internal Communication Management,Email/Calendaring,Relay Access to mail.chartercom.com,Adv Tech Services Messaging,
Internal Communication Management,Email/Calendaring,Address Book Updates,Adv Tech Services Messaging,
Process Management,IT Application Catalog,Application Onboarding,Application Intake Support,
Enterprise Applications,ARCHER WIFI,Access Request,ARCHER WIFI Support Group,
Enterprise Applications,ARCHER WIFI,Enhancement Request,ARCHER WIFI Support Group,
Enterprise Applications,ARCHER WIFI,Issue with a Report,ARCHER WIFI Support Group,
Enterprise Applications,ARCHER WIFI,Issue with App Client Software,ARCHER WIFI Support Group,
Enterprise Applications,ARCHER WIFI,Report an Application Issue,ARCHER WIFI Support Group,
Enterprise Applications,ARCHER WIFI,Request a change to a Report,ARCHER WIFI Support Group,
Enterprise Applications,ARCHER WIFI,Request a new Report,ARCHER WIFI Support Group,
Enterprise Applications,ARCHER WIFI,Request App Client Software,ARCHER WIFI Support Group,
Enterprise Applications,ARCHER WIFI,Unexpected Change to Access,ARCHER WIFI Support Group,
Process Management,Document Management,Access Policy,Architecture DFD Team,
Process Management,Document Management,DFD,Architecture DFD Team,
Enterprise Applications,Aspect / eWFM,Issue with a Report,Aspect Software,
Enterprise Applications,Aspect / eWFM,Report an Application Issue,Aspect Software,
Enterprise Applications,Aspect / eWFM,Request a change to a Report,Aspect Software,
Enterprise Applications,Aspect / eWFM,Access Request,Aspect Software,
Enterprise Applications,Aspect / eWFM,Enhancement Request,Aspect Software,
Enterprise Applications,Aspect / eWFM,Request a new Report,Aspect Software,
Enterprise Applications,Aspect / eWFM,Unexpected Change to Access,Aspect Software,
Enterprise Applications,ATLAS - ENTERPRISE ANALYTICS,Unexpected Change to Access,ATLAS Support Group,
Enterprise Applications,ATLAS - ENTERPRISE ANALYTICS,Access Request,ATLAS Support Group,
Enterprise Applications,AuditBoard SOXHUB,Access Request,AuditBoard Admin SOX,
Enterprise Applications,AuditBoard SOXHUB,Unexpected Change to Access,AuditBoard Admin SOX,
Enterprise Applications,AB INITIO,Access Request,BI AB INITIO,
Enterprise Applications,AB INITIO,Enhancement Request,BI AB INITIO,
Enterprise Applications,AB INITIO,Issue with a Report,BI AB INITIO,
Enterprise Applications,AB INITIO,Issue with App Client Software,BI AB INITIO,
Enterprise Applications,AB INITIO,Report an Application Issue,BI AB INITIO,
Enterprise Applications,AB INITIO,Request a change to a Report,BI AB INITIO,
Enterprise Applications,AB INITIO,Request a new Report,BI AB INITIO,
Desktop Software,Tableau Desktop,Request New Tableau Software,BI Governance,
Enterprise Applications,Charter Business Intelligence (CBI),Request New Data or Modify Existing Datasets,BI Governance,
Desktop Software,Tableau Desktop,Tableau Software Transfer,BI Governance,
Data Management,XDW Database - Teradata,Business Intelligence Issue,BI Production Operations,
Data Management,XDW Database - Teradata,Business Intelligence Management Services,BI Production Operations,
Business Services,Business Intelligence,Business Intelligence Payment Services,BI Production Operations,
Spectrum Mobile,BYOD,Activation Issue,Billing OPS - Mobile,
Spectrum Mobile,Billing Issues,Customer is being charge an incorrect amount,Billing OPS - Mobile,
Spectrum Mobile,BYOD,Unable to Port Device,Billing OPS - Mobile,
Spectrum Mobile,Billing Issues,Charged for phone no longer on account,Billing OPS - Mobile,
Enterprise Applications,Corportal,Issue with a Report,Call Center Tech Applications,
Enterprise Applications,Corportal,Report an Application Issue,Call Center Tech Applications,
Enterprise Applications,APP BAR,Operations Emergency Change,Call Center Tech Applications,
Enterprise Applications,ETS STUDIO,Operations Emergency Change,Call Center Tech Applications,
Enterprise Applications,NICE RPA (APP3115),NICE RPA (APP3115),Call Center Tech Operations,
Enterprise Applications,UI Path Orchestrator (APP4242),UIPath RPA (APP4242),Call Center Tech Operations,
Enterprise Applications,Customer Account Authentication Tool (CAAT),Access Request,Call Center Tech Operations,
Enterprise Applications,Task Management System (TMS),User getting 500 internal error while attempt to login TMS,Call Center Tech Operations,
Enterprise Applications,Task Management System (TMS),User not able to upload the job,Call Center Tech Operations,
Enterprise Applications,Avaya IVR - VRT,Other,Call Center Tech Operations,
Enterprise Applications,UCC Hub,Workflow Issue,Call Center Tech Operations,
Enterprise Applications,UCC Hub,Unintended recipients,Call Center Tech Operations,
Enterprise Applications,UCC Hub,Reporting issue,Call Center Tech Operations,
Enterprise Applications,Avaya CMS/IQ Reporting,Avaya CMS Reporting Issue,Call Center Tech Operations,
Enterprise Applications,Avaya IT Only Tools,Access Request,Call Center Tech Operations,
Enterprise Applications,NICE Toolbar,Others,Call Center Tech Operations,
Enterprise Applications,NICE Toolbar,Nice tool bar not launch/pop up,Call Center Tech Operations,
Enterprise Applications,UCC Hub,Performance issue,Call Center Tech Operations,
Enterprise Applications,UCC Hub,Job failure,Call Center Tech Operations,
Enterprise Applications,UCC Hub,Incorrect contact data,Call Center Tech Operations,
Enterprise Applications,UCC Hub,Duplicate communications,Call Center Tech Operations,
Enterprise Applications,UCC Hub,DNC contact list related issues,Call Center Tech Operations,
Enterprise Applications,UCC Hub,Communication delivery issue,Call Center Tech Operations,
Enterprise Applications,UCC Hub,Automated Alerts,Call Center Tech Operations,
Enterprise Applications,UCC Hub,Access Request to UCC Hub or UPC,Call Center Tech Operations,
Enterprise Applications,ETS STUDIO,Others - please describe issue text field,Call Center Tech Operations,
Enterprise Applications,ETS STUDIO,User can see some agents call recordings but not for specific agent,Call Center Tech Operations,
Enterprise Applications,Avaya Verint/QMS Call Recording,Access Request,Call Center Tech Operations,
Enterprise Applications,Avaya Verint/QMS Call Recording,Enhancement Request,Call Center Tech Operations,
Enterprise Applications,Avaya One-X Agent / Sales ID,Unexpected Change to Access,Call Center Tech Operations,
Enterprise Applications,Avaya One-X Agent / Sales ID,Access Request,Call Center Tech Operations,
Enterprise Applications,Avaya CMS/IQ Reporting,Missing Interval Data Reship Request,Call Center Tech Operations,
Enterprise Applications,Avaya IT Only Tools,Unexpected Change to Access,Call Center Tech Operations,
Enterprise Applications,Avaya CMS/IQ Reporting,Others,Call Center Tech Operations,
Enterprise Applications,Customer Account Authentication Tool (CAAT),Report an Application Issue,Call Center Tech Operations,
Enterprise Applications,Charter Collection Mobility(CCM),Report an Application Issue,Call Center Tech Operations,
Enterprise Applications,Charter Collection Mobility(CCM),Access Request,Call Center Tech Operations,
Enterprise Applications,Avaya Softphone,Others,Call Center Tech Operations,
Enterprise Applications,NICE Toolbar,User don't have access to NICE,Call Center Tech Operations,
Enterprise Applications,Credit Calculator,Report an Application Issue,Call Center Tech Operations,
Enterprise Applications,MESSAGING PLATFORM (ASAPP),Users Chat not reaching to an agent,Call Center Tech Operations,
Enterprise Applications,Avaya Verint/QMS Call Recording,Unexpected Change to Access,Call Center Tech Operations,
Enterprise Applications,ETS STUDIO,User not able to do remote logout agent,Call Center Tech Operations,
Enterprise Applications,ETS STUDIO,Users not able to do service observe,Call Center Tech Operations,
Enterprise Applications,ETS STUDIO,ETS Studio Access Issue,Call Center Tech Operations,
Enterprise Applications,MESSAGING PLATFORM (ASAPP),Core / Custom Report issue,Call Center Tech Operations,
Enterprise Applications,MESSAGING PLATFORM (ASAPP),Phantom chat in queue,Call Center Tech Operations,
Enterprise Applications,MESSAGING PLATFORM (ASAPP),Other,Call Center Tech Operations,
Enterprise Applications,Avaya Softphone,"Add , Update & Remove",Call Center Tech Operations,
Enterprise Applications,Avaya IVR - VRT,User not able to do payment via IVR and getting transfer to agent,Call Center Tech Operations,
Enterprise Applications,Avaya IVR - VRT,IVR misrouting calls to different business agents,Call Center Tech Operations,
Enterprise Applications,Avaya IVR - VRT,IVR Payment spike / Match rate / inbound call varience in Dashboard,Call Center Tech Operations,
