Service,Category,Subcategory,Team Default,Aliases
Enterprise Applications,CABS,Issue with a Report,IT Support Desk,
Enterprise Applications,CABS,Issue with App Client Software,IT Support Desk,
Enterprise Applications,CABS,Report an Application Issue,IT Support Desk,
Enterprise Applications,CABS,Request a change to a Report,IT Support Desk,
Enterprise Applications,CABS,Request a new Report,IT Support Desk,
Enterprise Applications,CDMS,Issue with App Client Software,IT Support Desk,
Enterprise Applications,CDMS,Report an Application Issue,IT Support Desk,
Enterprise Applications,CDMS,Request a change to a Report,IT Support Desk,
Enterprise Applications,CDMS,Request a new Report,IT Support Desk,
IT Support Desk,Dead Air\Hangup,Report an Application Issue,IT Support Desk,
Mobile Device Management,"Config, Feature, Chg & AddOns",Employee Mobile Reimbursement Question,IT Support Desk,
Data Center Services,IT Network Services,Issue with Network Services,IT Support Desk,
Desktop Software,Cisco Info Server JDBC Driver,Issue with Software,IT Support Desk,
Desktop Software,Bria,Issue with Software,IT Support Desk,
Desktop Software,Crystal Reports,Issue with Software,IT Support Desk,
Desktop Software,Snagit,Issue with Software,IT Support Desk,
Desktop Software,Monarch Pro,Issue with Software,IT Support Desk,
Desktop Software,Parallels,Issue with Software,IT Support Desk,
Desktop Software,Ultra VNC Server,Issue with Software,IT Support Desk,
Desktop Software,Horizon Client,Request New Software,IT Support Desk,
Desktop Software,Microsoft Office Pro 2016,Issue with Software,IT Support Desk,
Desktop Software,Microsoft Project Professional,Issue with Software,IT Support Desk,
Desktop Software,Microsoft Visio Professional,Issue with Software,IT Support Desk,
Desktop Software,Microsoft Visual Studio 2012,Issue with Software,IT Support Desk,
Desktop Software,NMap,Issue with Software,IT Support Desk,
Desktop Software,*Software Services,Install Driver/Plugin,IT Support Desk,
Enterprise Applications,Microstrategy Software (ONLY),Enhancement Request,IT Support Desk,
Enterprise Applications,Microstrategy Software (ONLY),Issue with a Report,IT Support Desk,
Enterprise Applications,Microstrategy Software (ONLY),Issue with App Client Software,IT Support Desk,
Enterprise Applications,Microstrategy Software (ONLY),Report an Application Issue,IT Support Desk,
Enterprise Applications,Microstrategy Software (ONLY),Request a change to a Report,IT Support Desk,
Enterprise Applications,GOTOASSIST - LOGMEIN (GTA),Request a change to a Report,IT Support Desk,
Enterprise Applications,GOTOASSIST - LOGMEIN (GTA),Request a new Report,IT Support Desk,
Enterprise Applications,Avaya IVR - VRT,Request a change to a Report,IT Support Desk,
Enterprise Applications,HELP.TWCABLE.COM,Request a new Report,IT Support Desk,
Enterprise Applications,HOME SECURITY TECH ASSIST,Enhancement Request,IT Support Desk,
Enterprise Applications,NETWORK AUTOMATION (NA),Request a new Report,IT Support Desk,
Business Services,Retail Store Support,Issue with Retail Store Support,IT Support Desk,
Business Services,Retail Store Support,Retail Store Kiosk Support,IT Support Desk,
Enterprise Applications,NEUSTAR,Enhancement Request,IT Support Desk,
Enterprise Applications,Avaya IVR - VRT,Enhancement Request,IT Support Desk,
Enterprise Applications,SAP Callidus Cloud,Enhancement Request,IT Support Desk,
Enterprise Applications,SAP Callidus Cloud,Issue with a Report,IT Support Desk,
Enterprise Applications,Zendesk,Issue with App Client Software,IT Support Desk,
Enterprise Applications,Zendesk,Report an Application Issue,IT Support Desk,
Enterprise Applications,Atlassian Applications,Report an Application Issue,IT Support Desk,
